Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN
1521504000.0,2018-03-20,BTCMXN,160855.99,168490,158000.01,165794.03,290.61,47701631.21
1521417600.0,2018-03-19,BTCMXN,152914.81,164000,151001.04,160855.99,274.54,43269678.86
1521331200.0,2018-03-18,BTCMXN,147100.09,153999.98,136100,152914.81,368.01,52624740.05
1521244800.0,2018-03-17,BTCMXN,156000,158389.99,145100,147100.09,178.69,26701581.29
1521158400.0,2018-03-16,BTCMXN,155360.46,161200,149000,156000,206.26,32380277.27
1521072000.0,2018-03-15,BTCMXN,154500.25,159921.99,142002,155360.46,424.91,63760031.23
1520985600.0,2018-03-14,BTCMXN,171999.98,175000,147336.03,154500.25,331.64,52625468.24
1520899200.0,2018-03-13,BTCMXN,174100,178000,167000.03,171999.98,270.16,46456236.52
1520812800.0,2018-03-12,BTCMXN,180900,187000,167000,174100,246.11,43485967.82
1520726400.0,2018-03-11,BTCMXN,169000,184978,162501,180900,183.17,31603065.67
1520640000.0,2018-03-10,BTCMXN,177000,191999,166000,169000,403.99,71756650.88
1520553600.0,2018-03-09,BTCMXN,175050,179500,152000.03,177000,633.05,105661061.85
1520467200.0,2018-03-08,BTCMXN,189550,195399.98,172450.7,175050,515.29,94329787.45
1520380800.0,2018-03-07,BTCMXN,203209.9,212000,188000,189550,433.63,85320913.68
1520294400.0,2018-03-06,BTCMXN,215001,216550.99,200000,203209.9,309.26,63927592.68
1520208000.0,2018-03-05,BTCMXN,214200,218999,211658.01,215001,199.6,43029216.56
1520121600.0,2018-03-04,BTCMXN,215397.07,215398.99,206309.97,214200,116.06,24367032.4
1520035200.0,2018-03-03,BTCMXN,207997.43,216199.99,207000,215397.07,176.97,37573541.26
1519948800.0,2018-03-02,BTCMXN,204280,208550,201020,207997.43,231.15,47570785.72
1519862400.0,2018-03-01,BTCMXN,195098,206899,194500,204280,203.4,41205476.21
1519776000.0,2018-02-28,BTCMXN,199800.01,205000,193500,195098,271.14,53880304.97
1519689600.0,2018-02-27,BTCMXN,192312,203859.49,190000,199800.01,234.01,46316832.31
1519603200.0,2018-02-26,BTCMXN,179697.97,195022,176450,192312,254.67,48284425.31
1519516800.0,2018-02-25,BTCMXN,182800.05,185000,174500,179697.97,85.63,15372233.66
1519430400.0,2018-02-24,BTCMXN,189630.08,197000,175421.63,182800.05,211.33,39184964.54
1519344000.0,2018-02-23,BTCMXN,184230,195473.68,178122.08,189630.08,325.29,61230136.12
1519257600.0,2018-02-22,BTCMXN,196920.64,206502,181300.01,184230,408.19,78170063.18
1519171200.0,2018-02-21,BTCMXN,208888,209598.99,190000,196920.64,571.36,113697530.96
1519084800.0,2018-02-20,BTCMXN,208995.74,221021,206557.02,208888,389.08,83392508.96
1518998400.0,2018-02-19,BTCMXN,200540.91,211000,195000,208995.74,270.15,55525416.5
1518912000.0,2018-02-18,BTCMXN,207022,212199.99,189011.01,200540.91,279.56,56923959.09
